"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "JavaScript", "HTML", "comment", "blank", "total"
"c:\projects\level 2\room-reserve-server\.prettierrc.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\projects\level 2\room-reserve-server\README.md", "Markdown", 0, 0, 0, 33, 0, 0, 0, 16, 49
"c:\projects\level 2\room-reserve-server\dist\app.js", "JavaScript", 0, 0, 0, 0, 31, 0, 1, 1, 33
"c:\projects\level 2\room-reserve-server\dist\app\builder\QueryBuilder.js", "JavaScript", 0, 0, 0, 0, 92, 0, 0, 1, 93
"c:\projects\level 2\room-reserve-server\dist\app\config\index.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\projects\level 2\room-reserve-server\dist\app\error\AppError.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\projects\level 2\room-reserve-server\dist\app\error\handleCastError.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\projects\level 2\room-reserve-server\dist\app\error\handleDuplicateError.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 1, 24
"c:\projects\level 2\room-reserve-server\dist\app\error\handleValidationError.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\projects\level 2\room-reserve-server\dist\app\error\handleZodError.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\projects\level 2\room-reserve-server\dist\app\interface\error.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\projects\level 2\room-reserve-server\dist\app\middlewares\auth.js", "JavaScript", 0, 0, 0, 0, 56, 0, 4, 1, 61
"c:\projects\level 2\room-reserve-server\dist\app\middlewares\globalErrorHandler.js", "JavaScript", 0, 0, 0, 0, 71, 0, 1, 1, 73
"c:\projects\level 2\room-reserve-server\dist\app\middlewares\notFound.js", "JavaScript", 0, 0, 0, 0, 16, 0, 1, 1, 18
"c:\projects\level 2\room-reserve-server\dist\app\middlewares\validateRequest.js", "JavaScript", 0, 0, 0, 0, 26, 0, 1, 1, 28
"c:\projects\level 2\room-reserve-server\dist\app\middlewares\validateStripeWebhook.js", "JavaScript", 0, 0, 0, 0, 19, 0, 0, 1, 20
"c:\projects\level 2\room-reserve-server\dist\app\modules\Auth\Auth.controller.js", "JavaScript", 0, 0, 0, 0, 86, 0, 0, 1, 87
"c:\projects\level 2\room-reserve-server\dist\app\modules\Auth\Auth.interface.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\projects\level 2\room-reserve-server\dist\app\modules\Auth\Auth.route.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\projects\level 2\room-reserve-server\dist\app\modules\Auth\Auth.service.js", "JavaScript", 0, 0, 0, 0, 82, 0, 2, 1, 85
